央视,#genre#
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV4,https://lb-mvtv-live.v2h-cdn.com/redirect/cctv4/cctv4.stream?type=m3u8
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV17,http://goo.bkpcp.top/mg/cctv17
地方,#genre#
江西卫视,http://goo.bkpcp.top/mg/jxws
湖南卫视,http://goo.bkpcp.top/mg/hnws
湖北卫视,http://goo.bkpcp.top/mg/hbws
江苏卫视,http://goo.bkpcp.top/mg/jsws
广东卫视,http://goo.bkpcp.top/mg/gdws
浙江卫视,http://goo.bkpcp.top/mg/zjws
陕西卫视,http://goo.bkpcp.top/mg/sxws
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF11%E3%80%8F
CGTN,https://pi.0472.org/chc/jt.m3u8$LR%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF7%E3%80%8F
无线新闻,http://bziyunshao.synology.me:8890/bysid/83

